timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
1192000,0.0031579742,-0.0111193415,-0.008409392,4000,0,-0.2408087,0.16725604,-10.001954,4000
1300000,0.00829103,-0.003025205,0.003834542,4000,0,-0.16137019,0.23626545,-9.947274,4000
1304000,0.0033063607,-0.0019533758,0.0010519436,4000,0,-0.15997837,0.23552059,-9.916234,4000
1308000,-0.0035169162,-0.0048312536,0.0044027013,4000,0,-0.23231414,0.2545304,-9.9109955,4000
1312000,-0.004373984,-0.0073366207,0.009990946,4000,0,-0.19039628,0.2204511,-9.916949,4000
1316000,-0.0012155428,-0.00805666,-8.888751e-05,4000,0,-0.19429994,0.2230178,-9.943116,4000
1320000,0.00096513564,-0.0068105776,-0.005434614,4000,0,-0.23285626,0.25572252,-9.968334,4000
1324000,-0.00021091003,0.00021157907,-0.003070909,4000,0,-0.24724339,0.25354087,-9.995117,4000
1328000,-0.006910082,-0.005524135,-0.0012703774,4000,0,-0.2258892,0.21247704,-9.929575,4000
1332000,-0.010401021,-0.009816669,-0.000370818,4000,0,-0.22905506,0.20289268,-9.926108,4000
1336000,-0.010934597,-0.0038260072,-9.417348e-05,4000,0,-0.30363065,0.16636705,-9.938398,4000
1340000,-0.016300913,-0.003848449,-0.0028483977,4000,0,-0.1964425,0.16004346,-9.902668,4000
1344000,-0.0076178336,-0.006803972,-0.0030141622,4000,0,-0.11411343,0.18757562,-9.937008,4000
1348000,0.001510324,-0.0034615544,0.003291812,4000,0,-0.19140004,0.16731775,-9.98205,4000
1352000,-0.0016734495,-0.004202661,0.0041757375,4000,0,-0.28855398,0.17992304,-9.996114,4000
1360000,0.00675006,0.0006373318,0.007991517,4000,0,-0.19317588,0.1791592,-9.90356,4000
1364000,0.0025543123,-0.0061966297,0.00507774,4000,0,-0.198616,0.15665895,-9.905176,4000
1372000,-0.0034853772,-0.0053059254,0.0019968536,4000,0,-0.20947778,0.14578237,-9.9412155,4000
1376000,-0.0013432433,-0.005400543,0.005817186,4000,0,-0.20526755,0.12096661,-9.922711,4000
1380000,-0.0049934164,-0.007856635,0.00034923523,4000,0,-0.19943474,0.16783252,-10.003072,4000
1388000,-0.004561737,-0.00603448,-0.0055775493,4000,0,-0.20133416,0.2251525,-9.970411,4000
1392000,-0.00072700204,-0.0066040815,-0.002214163,4000,0,-0.15288159,0.21681352,-9.915536,4000
1400000,-0.005625867,-0.0031293198,0.00909817,4000,0,-0.2335877,0.26726195,-9.946661,4000
1404000,-0.000741833,-0.006385103,0.004951824,4000,0,-0.2217898,0.25099865,-9.966931,4000
1408000,0.0006801065,-0.010353352,0.0027957251,4000,0,-0.24255675,0.20787728,-9.937983,4000
1416000,-0.004314713,0.0007485694,0.0037441312,4000,0,-0.20208001,0.26266062,-10.024985,4000
1420000,-0.0014854776,0.0011846496,0.0056396686,4000,0,-0.1665317,0.28483495,-9.963138,4000
1424000,-0.0010178728,-0.010586393,0.005943726,4000,0,-0.12851664,0.25304976,-9.897738,4000
1432000,-0.004636541,-0.010144991,-0.0019409884,4000,0,-0.19106151,0.20281586,-10.02458,4000
1440000,-0.00093401305,-0.0067009456,0.007842169,4000,0,-0.25046766,0.18821421,-9.952548,4000
1444000,-0.00037048574,-0.008770449,0.0097455485,4000,0,-0.2118618,0.25636646,-9.904377,4000
1448000,-0.008405955,-0.009347715,0.002312994,4000,0,-0.23962022,0.2347103,-9.900027,4000
1452000,-0.0036212758,-0.0068545965,0.0028112994,4000,0,-0.29342657,0.21195418,-9.89367,4000
1456000,-9.787512e-05,-0.009150771,0.0019097253,4000,0,-0.29452536,0.21800734,-9.855605,4000
1464000,-2.9987077e-05,-0.006724255,0.002287079,4000,0,-0.21894912,0.13427661,-9.993549,4000
1468000,-0.0037035448,-0.008046484,0.0035795942,4000,0,-0.23165311,0.19027121,-9.957826,4000
1472000,-0.0007394288,-0.00883596,-0.000878475,4000,0,-0.23229337,0.21919836,-9.964935,4000
1476000,0.0006074393,-0.0027179357,-0.004156228,4000,0,-0.25014117,0.2515421,-9.930281,4000
1480000,-0.004498489,-0.0018251876,-0.003963978,4000,0,-0.19703944,0.2789215,-9.916921,4000
1488000,-0.0007389217,-0.005524559,-0.0028587768,4000,0,-0.22945318,0.21148257,-9.936302,4000
1492000,-0.004338729,-0.007207108,-0.0026388145,4000,0,-0.20960285,0.21626095,-9.968708,4000
1500000,-0.0013995338,-0.004661225,0.0039432556,4000,0,-0.2693398,0.28457806,-9.972599,4000
1504000,0.0017333453,-0.010572916,0.00027519834,4000,0,-0.20750345,0.28279012,-10.036033,4000
1508000,-1.1522389e-05,-0.0133842705,0.00023492843,4000,0,-0.16402811,0.26013583,-10.004425,4000
1512000,-0.0010278857,-0.016898822,0.0013432944,4000,0,-0.21307607,0.26206058,-9.9515295,4000
1516000,-0.00094606716,-0.012938091,0.0018755571,4000,0,-0.23588197,0.25594774,-9.917561,4000
1520000,-0.0011420968,-0.010240342,-0.0015006523,4000,0,-0.24792698,0.2169675,-9.912309,4000
1524000,-0.0025530835,-0.0105688125,-0.002438673,4000,0,-0.24688692,0.25085098,-9.935488,4000
1528000,-0.0073340763,-0.0029893292,-0.0007183774,4000,0,-0.2555362,0.28690326,-9.977187,4000
1536000,-0.0008482891,-0.0037895245,-0.0020481565,4000,0,-0.14407836,0.13911371,-9.962495,4000
1540000,0.0005104606,-0.0075023556,-0.003859611,4000,0,-0.20033987,0.16056474,-9.969437,4000
1544000,-0.0046907295,-0.004389915,-0.0040974277,4000,0,-0.30028105,0.19063166,-10.010806,4000
1552000,-0.002809129,-0.0036221805,-0.002089033,4000,0,-0.21484357,0.19140938,-9.952788,4000
1556000,-0.0024147318,-0.0026810572,0.0015106,4000,0,-0.23307744,0.19675153,-9.979401,4000
1560000,-0.006037097,-0.0020451061,-0.0025336156,4000,0,-0.30882594,0.20853285,-9.921799,4000
1564000,-0.005227279,-0.0061461567,-0.0008332728,4000,0,-0.29565823,0.15509874,-9.871297,4000
1568000,0.0018881417,-0.010464245,0.005385214,4000,0,-0.19138789,0.12857348,-9.853985,4000
1576000,-0.006093748,-0.004048122,0.002638365,4000,0,-0.17130971,0.21890102,-9.983576,4000
1580000,-0.0040240195,-0.0010302489,0.0034100548,4000,0,-0.20201717,0.25907323,-9.974087,4000
1584000,-0.0021065974,-0.0052745547,0.0020842021,4000,0,-0.16469039,0.22647771,-9.945434,4000
1588000,-0.0041640517,-0.0070119603,-0.0012380589,4000,0,-0.18187279,0.1838863,-9.892673,4000
1592000,-0.0016543721,-0.0045780134,0.0012049141,4000,0,-0.20589274,0.21263908,-9.924832,4000
1596000,-0.0014992822,-0.0011171731,0.005451275,4000,0,-0.17197834,0.21174055,-9.899015,4000
1600000,-0.0036877568,-0.0024912318,0.0016395012,4000,0,-0.21152164,0.17942917,-9.912548,4000
1604000,-0.006751635,-0.006346306,0.0018570072,4000,0,-0.2784029,0.18926306,-9.904213,4000
1608000,-0.0051538525,-0.010544747,0.0064364937,4000,0,-0.21781833,0.18086411,-9.879922,4000
1612000,0.00081399194,-0.009497912,0.008499722,4000,0,-0.18450922,0.20940624,-9.95019,4000
1620000,-0.0047051795,-0.002604707,-0.0042177374,4000,0,-0.21116687,0.28637677,-10.020726,4000
1624000,-0.0048326966,-0.0023808172,-0.0033235673,4000,0,-0.19526397,0.2525227,-9.981572,4000
1632000,-0.0025591135,-0.0052623674,-0.0030638136,4000,0,-0.26261878,0.21741877,-9.934749,4000
1636000,-0.00032494735,0.0014718985,-0.0013642992,4000,0,-0.2478366,0.22000068,-9.92067,4000
1640000,0.002722196,-0.005997758,0.0017308774,4000,0,-0.20363511,0.28841904,-9.990466,4000
1644000,-0.004700371,-0.011851963,0.00093579135,4000,0,-0.19938464,0.25160682,-9.982416,4000
1648000,-0.00637632,-0.009676074,-0.0037729354,4000,0,-0.21089818,0.21233918,-9.917739,4000
1656000,0.0016817808,-0.011056357,0.0050279535,4000,0,-0.22771777,0.20293859,-9.913026,4000
1660000,-0.00026076348,-0.008031081,0.0064247823,4000,0,-0.18628484,0.20339178,-9.922595,4000
1664000,0.0016883407,-0.006016517,0.002039618,4000,0,-0.20987628,0.177284,-9.909027,4000
1668000,-0.0018377608,-0.002685673,-0.0022874956,4000,0,-0.24935079,0.18045777,-9.933318,4000
1672000,-0.0013509521,-0.0075746505,-0.0027409468,4000,0,-0.24857186,0.154523,-9.958939,4000
1676000,-0.00032818996,-0.0060098926,-0.003135638,4000,0,-0.21984746,0.18641816,-9.977293,4000
1680000,-0.0026913031,-0.0054351236,-0.0013518218,4000,0,-0.19298697,0.2845782,-10.081232,4000
1688000,0.0020959158,-0.0056863786,0.009779526,4000,0,-0.22672687,0.13192189,-9.917526,4000
1696000,2.0387894e-05,-0.00773218,-0.0023727666,4000,0,-0.15003365,0.16673589,-9.980913,4000
1700000,0.002730005,-0.0075294967,0.00079852797,4000,0,-0.17805229,0.16347446,-10.017004,4000
1708000,-0.0027678686,-0.008033007,-0.0021834155,4000,0,-0.2180189,0.2083151,-9.906219,4000
